15	4
56	1
56	2
56	4
56	11
56	12
56	19
56	47
56	48
56	53
56	54
57	5
57	6
57	15
57	56
58	7
58	10
58	15
58	52
58	57
70	58
70	361
83	13
83	57
83	361
104	371
116	98
122	101
134	98
153	154
164	57
165	26
166	27
167	28
168	20
169	25
170	21
174	151
176	20
177	21
178	25
184	92
185	56
186	122
187	122
188	57
189	19
190	52
191	53
192	54
193	10
196	5
196	6
196	12
196	15
197	5
197	6
197	7
197	10
197	12
197	15
197	52
198	7
198	10
198	15
198	52
200	92
201	89
202	86
204	57
221	20
271	16
281	154
282	188
283	176
284	177
285	178
293	292
295	296
303	302
304	302
307	296
308	44
309	56
315	314
317	49
323	318
325	324
326	86
326	106
328	327
331	329
332	330
333	300
333	327
335	334
340	329
341	16
341	43
341	45
341	46
341	47
341	48
341	54
342	341
344	231
346	348
348	324
348	334
348	353
348	382
348	419
357	353
360	354
362	361
363	13
364	11
364	43
364	48
364	439
364	441
365	364
371	1
371	2
371	11
371	17
371	18
371	47
371	48
372	4
372	5
372	6
372	12
372	15
373	371
374	372
376	355
377	356
378	375
379	17
383	382
384	381
387	386
394	388
395	389
396	390
397	391
398	392
399	393
400	389
402	8
402	11
402	13
402	45
402	46
402	47
402	48
402	53
402	54
402	401
403	402
404	5
404	8
404	11
404	41
404	42
404	43
404	47
404	48
404	53
404	54
404	55
404	361
409	4
409	5
409	6
409	8
409	11
409	41
409	42
409	43
409	45
409	46
409	47
409	48
409	53
409	54
410	8
410	11
410	16
410	41
410	42
410	43
410	45
410	46
410	47
410	48
410	53
410	54
411	404
412	409
413	410
414	18
415	41
415	42
415	43
415	45
415	46
415	53
415	54
416	4
416	12
416	42
416	44
416	47
416	53
416	54
417	11
417	47
417	48
429	15
430	19
431	417
432	416
433	415
434	419
435	418
436	424
438	437
440	292
440	386
443	442
444	441
446	330
449	329
451	296
460	330
460	354
460	355
460	356
460	375
460	420
460	421
460	422
460	423
460	424
460	425
460	426
460	427
460	428
460	447
461	371
464	462
467	465
468	466
469	465
470	466
477	476
485	175
487	486
509	3
509	4
509	6
509	41
509	42
509	43
509	44
509	45
509	46
509	47
509	48
509	53
509	54
509	55
509	498
509	501
510	3
510	4
510	5
510	6
510	11
510	12
510	41
510	42
510	43
510	44
510	45
510	46
510	47
510	48
510	53
510	54
510	55
510	361
510	488
510	490
510	491
510	492
510	493
510	495
510	498
510	499
510	501
510	503
510	513
511	16
511	42
511	43
511	45
511	46
511	47
511	48
511	53
511	54
511	55
511	490
511	491
511	492
511	493
511	495
511	498
511	499
511	501
511	503
512	509
514	510
517	510
518	488
519	489
520	490
521	491
522	492
523	493
524	494
525	495
526	496
527	497
528	498
529	499
530	500
531	501
532	502
533	503
534	508
535	511
537	507
538	106
539	58
540	516
541	6
542	5
543	205
544	92
545	292
545	386
547	465
548	466
549	325
550	156
551	371
553	14
554	552
555	7
558	390
559	556
560	557
561	364
562	437
563	462
566	565
567	564
570	568
571	569
577	572
578	573
579	574
580	575
581	576
583	582
589	89
590	3
591	546
602	597
603	598
609	513
